85,78,6
97,78,7
74,0,93
84,16,12
20,36,37
10,4,10
61,43,35
88,5,33
53,29,55
45,81,40
74,6,13
64,38,66
62,11,66
77,0,82
82,42,24
60,83,25
51,58,66
70,5,89
36,16,7
83,70,29
92,63,18
9,88,9
14,100,3
23,43,37
4,23,42
64,42,68
67,39,97
61,0,47
79,20,17
68,43,92
31,17,73
29,73,55
14,81,95
34,27,49
32,65,24
57,91,70
15,87,33
35,49,58
60,55,15
36,56,83
1,63,40
47,36,79
53,79,45
72,19,18
51,73,51
31,37,57
90,13,48
17,81,39
17,54,43
84,86,21
44,80,24
85,31,24
84,99,74
21,5,79
78,48,40
45,63,30
46,87,58
71,18,48
74,45,92
77,75,32
26,97,99
53,60,30
27,68,44
63,63,67
23,23,21
75,18,47
67,11,79
42,15,38
27,97,35
9,65,97
76,57,72
80,7,91
76,54,54
66,50,51
12,23,0
33,82,73
27,63,96
75,68,93
42,60,57
4,91,76
63,70,40
97,78,31
58,74,11
80,80,18
46,10,49
94,68,41
40,67,35
15,25,11
100,50,61
8,74,71
52,11,70
40,23,99
7,13,71
56,71,12
99,90,38
61,14,84
38,22,14
97,83,74
3,42,91
31,82,23
2,50,27
59,32,24
48,45,75
30,73,47
16,54,83
41,45,14
38,54,72
25,19,88
73,68,22
95,54,3
63,64,35
48,86,89
79,11,25
11,45,73
31,65,44
89,64,71
61,28,29
63,5,13
23,35,62
12,25,35
67,35,25
75,31,11
5,78,50
86,90,59
54,75,82
66,84,78
49,49,70
98,26,40
36,61,17
35,34,97
77,77,84
93,96,2
75,56,64
85,47,55
31,53,27
32,11,69
26,54,98
3,11,44
55,61,71
29,74,21
24,23,52
11,59,65
14,94,70
12,32,96
28,42,11
78,56,77
57,16,20
62,61,58
33,68,93
0,10,12
83,13,89
64,29,62
53,51,54
79,72,52
81,54,29
89,68,67
22,27,88
94,14,34
33,8,6
22,13,52
55,29,16
96,37,40
9,3,92
23,43,43
24,86,20
34,82,76
57,18,1
93,42,74
18,55,45
27,97,64
3,44,73
71,81,19
13,72,19
98,100,3
51,51,5
22,36,44
60,78,29
96,68,29
66,91,84
57,26,15
79,13,65
46,35,40
33,4,14
23,25,43
31,43,84
22,86,98
41,17,28
82,60,38
22,84,77
43,13,38
20,56,90
81,13,61
59,15,93
42,53,68
90,32,91
38,12,72
20,67,98
8,41,17
57,5,54
80,81,4
67,81,34
0,39,27
100,2,89
16,39,64
80,21,67
20,88,4
76,34,45
28,85,79
43,87,20
99,40,66
2,11,90
34,55,65
36,99,13
39,34,32
53,49,71
36,97,86
22,5,23
56,94,44
75,33,54
41,58,3
16,24,6
40,55,81
29,40,96
52,2,4
76,48,86
84,26,44
12,14,15
77,78,15
87,59,67
22,70,4
59,33,90
59,28,34
59,85,15
11,23,93
34,83,27
67,99,5
77,68,30
11,8,26
19,80,64
24,66,10
48,27,76
76,58,59
52,84,36
14,11,92
33,22,58
2,79,98
17,89,27
96,6,2
62,27,79
89,43,95
46,67,82
45,29,30
6,40,39
22,26,41
17,60,94
90,67,18
38,16,91
63,78,48
69,98,96
57,29,19
82,6,30
37,96,34
16,89,4
23,5,89
54,90,27
40,89,40
54,46,73
3,38,15
5,97,15
55,21,12
23,4,3
52,52,6
41,15,17
20,58,20
67,46,41
55,41,60
72,47,5
2,53,25
32,27,3
39,50,70
73,28,21
53,91,63
37,81,12
16,53,94
57,63,1
92,92,22
54,9,80
19,65,42
34,78,68
96,19,25
76,40,91
45,74,54
43,65,11
2,68,100
36,2,88
13,56,85
97,65,41
3,74,38
44,79,10
49,47,26
60,20,81
55,97,6
58,95,95
65,42,62
100,64,59
64,73,100
76,41,60
27,36,63
89,44,36
16,82,37
93,4,31
66,35,56
97,99,37
66,62,64
80,11,7
83,9,55
51,69,24
9,85,27
71,13,11
26,21,94
85,30,45
75,43,99
24,93,7
53,29,35
86,8,3
68,22,76
89,100,57
62,60,51
20,8,72
51,30,65
87,19,27
38,3,1
47,65,4
50,12,23
42,65,85
95,8,90
6,64,24
11,62,88
73,17,13
76,53,4
67,83,62
15,59,44
73,90,14
8,60,78
91,95,74
39,66,86
52,100,27
100,19,91
10,40,15
34,68,41
30,50,63
27,75,48
32,72,89
44,59,80
4,9,2
25,24,94
25,65,5
46,64,0
86,10,82
96,60,47
16,89,7
21,39,19
50,82,52
48,33,15
76,85,37
1,76,39
90,84,64
53,1,42
70,36,67
82,22,84
55,92,86
8,31,12
28,40,5
96,61,29
75,15,28
88,36,48
73,22,94
87,92,71
64,79,74
10,79,29
0,91,86
81,7,96
82,53,73
15,98,1
47,39,38
3,22,35
65,87,95
70,26,45
90,91,24
70,79,62
13,2,87
30,20,74
89,5,94
78,22,50
94,12,23
10,23,72
26,27,64
79,92,93
1,4,33
81,68,87
27,93,66
17,35,77
89,69,33
5,28,33
60,6,73
55,82,10
74,58,53
59,4,16
82,80,88
66,43,25
75,74,38
45,13,44
67,25,58
12,6,79
89,87,42
24,41,98
78,78,79
24,84,9
45,41,87
67,59,42
47,29,76
70,8,47
62,40,39
69,82,54
13,20,24
86,75,64
79,97,43
18,73,30
26,17,4
33,73,65
5,41,40
27,72,32
58,84,99
56,46,92
64,56,5
64,73,33
61,23,63
1,83,90
73,9,1
68,29,97
97,96,0
14,23,80
50,16,38
68,47,81
67,38,29
42,44,35
52,48,24
73,72,84
99,12,47
35,39,39
58,76,31
83,94,58
78,62,92
93,93,36
15,63,82
6,23,67
12,58,92
16,70,9
30,49,30
19,73,80
27,62,15
34,27,8
61,91,16
15,4,94
48,4,7
45,36,80
32,45,82
25,30,27
12,57,89
48,77,61
95,56,32
59,76,34
73,98,38
1,17,67
61,74,31
85,28,92
100,77,42
92,25,30
2,14,16
14,40,35
50,78,12
28,6,32
56,41,78
57,6,63
60,34,3
55,6,35
32,54,0
66,37,86
59,86,98
77,10,60
69,97,21
25,21,38
30,79,21
37,42,65
2,91,61
92,56,69
90,12,52
79,47,90
93,65,34
96,91,67
46,71,1
85,42,41
4,22,69
66,70,88
83,96,3
47,77,14
55,18,48
26,53,96
17,63,92
53,57,17
64,44,38
74,91,56
68,23,21
95,26,64
27,89,98
53,84,79
68,37,83
18,0,4
69,46,59
53,81,73
27,62,9
29,6,71
33,58,22
28,76,57
49,44,66
100,23,36
78,68,37
72,70,93
34,16,23
45,78,13
60,96,56
1,90,54
60,97,56
8,49,67
14,74,93
89,37,6
59,94,94
51,34,30
76,60,28
97,19,39
93,10,44
73,71,7
74,89,21
83,63,92
97,34,49
5,9,52
22,96,52
23,77,76
72,28,91
42,94,91
78,28,56
98,38,23
36,65,46
49,45,9
14,100,34
60,13,10
49,35,27
27,3,77
73,98,47
37,72,68
27,44,47
73,12,16
6,91,59
29,36,75
25,60,78
65,49,43
10,79,78
35,70,79
54,60,73
63,87,11
37,7,58
62,42,39
26,63,77
35,1,60
20,83,36
93,56,34
65,46,9
94,63,6
52,66,93
85,49,66
19,7,62
79,32,19
77,45,11
65,37,85
50,80,7
75,81,65
67,54,0
63,23,83
4,43,79
94,62,12
56,23,56
80,91,14
94,33,22
81,71,96
76,82,20
89,82,71
46,58,90
85,78,70
18,77,87
69,89,47
97,8,44
75,66,48
99,78,47
52,89,71
29,86,68
30,3,11
81,18,50
88,48,87
83,65,1
3,85,16
8,15,99
44,58,94
30,76,1
72,57,63
12,36,72
78,52,2
28,42,31
57,27,51
26,85,58
22,95,30
59,4,68
39,14,0
92,16,38
83,64,78
15,56,82
2,63,80
84,60,73
27,44,38
8,95,45
1,21,70
8,71,35
75,75,54
36,49,26
57,26,99
86,53,99
39,37,49
48,32,53
4,23,84
62,50,32
52,76,67
92,0,37
29,94,12
43,39,30
32,94,30
8,69,20
84,56,32
39,51,63
21,17,9
65,31,47
71,35,42
34,63,18
38,42,64
84,83,100
92,47,16
90,78,100
74,22,94
60,25,74
65,63,30
96,19,71
86,38,41
95,11,95
3,68,69
89,55,55
61,87,83
15,27,95
17,99,90
79,42,67
95,46,67
29,62,37
81,97,50
6,29,61
96,70,32
23,100,62
82,67,95
81,74,6
43,43,82
97,48,58
34,77,18
69,66,29
72,68,59
14,72,18
35,38,82
29,86,44
66,22,27
78,1,4
57,82,15
16,83,12
54,75,99
65,80,87
79,41,41
12,0,21
59,59,97
66,79,32
